smarts	smarts_inner_marked	smarts_marked_oxygen
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6:2]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)([#6]2([#6][#6][#6]2)[#6]=[#7]3)#[#8]))
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6:2][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]([#6]3([#6]1)([#6]2([#6]([#6][#6][#6][#6]2)[#7]=[#6]3)))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6:2][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]([#6][#6]31([#6]2([#6]([#6][#6][#6][#6]2)[#7]=[#6]3)))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6:2]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]([#6]3([#6]1)([#6]2([#6]([#6][#6][#6][#6]2)[#7]=[#6]3)))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6:2]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)[#6]2([#6][#6][#6]2)[#6](=[#7]3)#[#8]))
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6:2]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)[#6]2([#6][#6][#6]2)[#6]=[#7]3)#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6:2][#6][#6][#6]2	[#6]1([#6]([#6]3([#6]([#6][#6]1)[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6:2][#6][#6]2	[#6]1([#6]([#6][#6]3([#6]([#6]1)[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6:2][#6]2	[#6]1([#6]([#6][#6][#6]3([#6]1[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6:2]2	[#6]1([#6][#6][#6][#6]3([#6]1[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8]
