SMILES	CANSMILES	price(100mg)	source
B(C1=CC(=C(C(=C1)C(C)(C)C)OC)C(C)(C)C)(O)O	COc1c(C(C)(C)C)cc(B(O)O)cc1C(C)(C)C	61.8	现货目录
B(C1=CC(=NC=C1)NC(=O)OC(C)(C)C)(O)O	CC(C)(C)OC(=O)Nc1cc(B(O)O)ccn1	71.5	现货目录
B(C1=CC(OCC=C)=CC=C1)(O)O	C=CCOc1cccc(B(O)O)c1	16.3	现货目录
B(C1=CC2=C(C=C1OC)C(C3=CC=CC=C32)(C)C)(O)O	COc1cc2c(cc1B(O)O)-c1ccccc1C2(C)C	31.5	现货目录
B(O)(O)C1=C(C=C(C(=O)OC)C=C1)Cl	COC(=O)c1ccc(B(O)O)c(Cl)c1	3.8	现货目录
B(O)(O)C1=CC=CC(=C1)[S](=O)(=O)N	NS(=O)(=O)c1cccc(B(O)O)c1	62.2	现货目录
B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-]	[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-]	78	现货目录
B.C1COCCN1	B.C1COCCN1	1.6	现货目录
B1(B2OC3=CC=CC=C3O2)OC4=CC=CC=C4O1	c1ccc2c(c1)OB(B1Oc3ccccc3O1)O2	1.6	现货目录
B1(C2=CC=C(OC3=CC=CC=C3)C=C2)OCCCO1	c1ccc(Oc2ccc(B3OCCCO3)cc2)cc1	15.6	有机化学清单
B1(C2=CC=CC=C2)OB(C3=CC=CC=C3)OB(C4=CC=CC=C4)O1	c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1	1.6	现货目录
B1(C2=CC=CC=C2)OCCCO1	c1ccc(B2OCCCO2)cc1	7.7	有机化学清单
B1(C2CCCC2)OCCCO1	C1COB(C2CCCC2)OC1	20.8	有机化学清单
B1(C=2C(=CC(=CC2)N)OC)OC(C)(C)C(O1)(C)C	COc1cc(N)ccc1B1OC(C)(C)C(C)(C)O1	70.8	现货目录
B1(OB(OB(O1)C=C)C=C)C=C.C1=CC=NC=C1	C=CB1OB(C=C)OB(C=C)O1.c1ccncc1	13.8	现货目录
B1(OC(=O)CN(CC(=O)O1)C)C2CC2	CN1CC(=O)OB(C2CC2)OC(=O)C1	7.9	现货目录
B1(OC(C(O1)(C)C)(C)C)C2=C(C=C(C=C2)C3(CC3)C#N)F	CC1(C)OB(c2ccc(C3(C#N)CC3)cc2F)OC1(C)C	62.4	现货目录
B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC(=C2)Cl)C(=O)OCC	CCOC(=O)c1ccc(Cl)cc1B1OC(C)(C)C(C)(C)O1	31.6	现货目录
B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)CCC(=O)OCC	CCOC(=O)CCc1cccc(B2OC(C)(C)C(C)(C)O2)c1	47.6	现货目录
B1(OC(C)(C)C(O1)(C)C)C2=C(C=C(C=C2)C)C=O	Cc1ccc(B2OC(C)(C)C(C)(C)O2)c(C=O)c1	38.3	现货目录
B1(OC(C)(C)C(O1)(C)C)C=2C=CC(=CC2)OCCF	CC1(C)OB(c2ccc(OCCF)cc2)OC1(C)C	58.7	现货目录
B1(OCCN(CCO1)C)C2=CC=C(C=C2)Br	CN1CCOB(c2ccc(Br)cc2)OCC1	16.8	现货目录
B1=BB=BB=B/C=C\\B=BB=B1	B1=BB=BB=B/C=C\B=BB=B1	14.6	现货目录
BN(C(C)C)C(C)C	BN(C(C)C)C(C)C	17.6	现货目录
Br.BrCCCCN	Br.NCCCCBr	1.8	现货目录
Br.BrCCCN	Br.NCCCBr	1.6	现货目录
Br.N1=C(SC(=C1C)C)N	Br.Cc1nc(N)sc1C	1.8	现货目录
Br.NC(=N)N1CCOCC1	Br.N=C(N)N1CCOCC1	3.7	有机化学清单
Br/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)\C3=CC=CC=C3	BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1	0.58	有机化学清单
BrC(=C)CCO	C=C(Br)CCO	10.3	现货目录
BrC(Br)(Br)CO	OCC(Br)(Br)Br	3.1	现货目录
BrC(C(=O)OC)C1=C(C=CC=C1)Cl	COC(=O)C(Br)c1ccccc1Cl	0.248	有机化学清单
BrC(C(C)=C(N)C=N1)=C1C	Cc1ncc(N)c(C)c1Br	96	现货目录
BrC(C(Cl)=N1)=CC(Br)=C1N	Nc1nc(Cl)c(Br)cc1Br	11.6	现货目录
BrC(C(F)=C1Cl)=CC=C1N	Nc1ccc(Br)c(F)c1Cl	86.9	现货目录
BrC(C(F)=CC=C1N)=C1F	Nc1ccc(F)c(Br)c1F	1.8	现货目录
BrC(C1=N2)=CC=CN1C=C2C(O)=O	O=C(O)c1cn2cccc(Br)c2n1	15	现货目录
BrC(C=C(C(O)=O)C=N1)=C1Cl	O=C(O)c1cnc(Cl)c(Br)c1	1.6	现货目录
BrC(C=C(Cl)C=N1)=C1N	Nc1ncc(Cl)cc1Br	1.6	现货目录
BrC(C=C(F)C=C1Br)=C1CO	OCc1c(Br)cc(F)cc1Br	79.5	现货目录
BrC(C=C(F)C=N1)=C1N	Nc1ncc(F)cc1Br	1.8	现货目录
BrC(C=C(N)C=N1)=C1Br	Nc1cnc(Br)c(Br)c1	15.8	现货目录
BrC(C=C1)=CC2=C1CC(N)C2.Br	Br.NC1Cc2ccc(Br)cc2C1	3.9	现货目录
BrC(C=C1)=CC=C1/C=C/B2OC(C)(C(C)(O2)C)C	CC1(C)OB(/C=C/c2ccc(Br)cc2)OC1(C)C	35.6	现货目录
BrC(C=C1)=CC=C1C2(C(O)=O)CCC2	O=C(O)C1(c2ccc(Br)cc2)CCC1	4.7	现货目录
BrC(C=C1)=CC=C1OCC2=CC=C(N)C=C2	Nc1ccc(COc2ccc(Br)cc2)cc1	76	现货目录
BrC(C=N1)=CC(Br)=C1N	Nc1ncc(Br)cc1Br	1.6	现货目录
BrC(C=N1)=CC(C(F)(F)F)=C1N	Nc1ncc(Br)cc1C(F)(F)F	2.1	现货目录
BrC(C=N1)=CC(C(O)=O)=C1F	O=C(O)c1cc(Br)cnc1F	1.8	现货目录
BrC(C=N1)=CC(C(O)=O)=C1N	Nc1ncc(Br)cc1C(=O)O	2.2	现货目录
BrC(C=N1)=CC(Cl)=C1C(O)=O	O=C(O)c1ncc(Br)cc1Cl	1.8	现货目录
BrC(C=N1)=CC(F)=C1C(O)=O	O=C(O)c1ncc(Br)cc1F	5.1	现货目录
BrC(C=N1)=CC(I)=C1N	Nc1ncc(Br)cc1I	1.8	现货目录
BrC(C=N1)=CC(N)=C1N	Nc1cc(Br)cnc1N	1.8	现货目录
BrC(C=N1)=CC(O)=C1Cl	Oc1cc(Br)cnc1Cl	4.7	现货目录
BrC(C=N1)=CC(OCC2=CC=CC=C2)=C1N	Nc1ncc(Br)cc1OCc1ccccc1	8.3	现货目录
BrC(N=CC(Cl)=N1)=C1N	Nc1nc(Cl)cnc1Br	2.1	现货目录
BrC(S1)=CC2=C1C=C(Br)S2	Brc1cc2sc(Br)cc2s1	12.4	有机化学清单
BrC/C=C/CBr	BrC/C=C/CBr	0.25	有机化学清单
BrC1(C2=CC=CC=C2C2=CC=CC=C12)C1=CC=CC=C1	BrC1(c2ccccc2)c2ccccc2-c2ccccc21	11.2	有机化学清单
BrC12CC3CC(C2)CC(C3)C1	BrC12CC3CC(CC(C3)C1)C2	0.22	有机化学清单
