condition,rxn,p,smiles_am,broken_each_reactant_list,formed_each_product_list,all_bond_changed,inner_broken,inner_formed,outer_broken,outer_formed
c1,Fc1ccccn1.NOP(=O)(c1ccccc1)c1ccccc1>>N[n+]1ccccc1F,N[n+]1ccccc1F,[n:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[F:8].[NH2:1][O:11][P:10](=[O:9])([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1>>[NH2:1][n+:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[F:8],"[None, ['N:1 - O:11']]",[['N:1 - N:2']],[],[],"[(0, '[N:1][n&+:2]1ccccc1', 'N:1 - N:2', 'N', 'SINGLE', 'N')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:11', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6]1[#6][#6][#7]([#6][#6]1)-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#6]1[#6][#6][#7][#6][#6]1', '[#7]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.c1cc2[nH]ccc2cn1>>N[n+]1ccc2[nH]ccc2c1,N[n+]1ccc2[nH]ccc2c1,[NH2:1][O:13][P:12](=[O:11])([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1.[n:2]1[cH:3][cH:4][c:5]2[nH:6][cH:7][cH:8][c:9]2[cH:10]1>>[NH2:1][n+:2]1[cH:3][cH:4][c:5]2[nH:6][cH:7][cH:8][c:9]2[cH:10]1,"[['N:1 - O:13'], None]",[['N:1 - N:2']],[],[],"[(0, '[N:1][n&+:2]1ccccc1', 'N:1 - N:2', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:13', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6]1[#6][#6][#7]([#6][#6]1)-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#6]1[#6][#6][#7][#6][#6]1', '[#7]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.c1ccc2[nH]ncc2c1>>Nn1ncc2ccccc21,Nn1ncc2ccccc21,[NH2:1][O:13][P:12](=[O:11])([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1.[nH:2]1[n:3][cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]12>>[NH2:1][n:2]1[n:3][cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]12,"[['N:1 - O:13'], ['N:2 - H']]",[['N:1 - N:2']],[],"[(1, 'c12[n:2]ncc1cccc2', 'N:2 - H', 'N', 'SINGLE', 'H', '[c]1([n][n][c]2)[c]2[c][c][c][c]1', '[H]')]","[(0, '[#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:1][#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:2]', 'N:1 - N:2', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:13', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6]1[#7]([#7][#6][#6]1)-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#6]1[#7][#7][#6][#6]1', '[#7]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.c1c[nH]cn1>>Nn1cc[n+](N)c1,Nn1cc[n+](N)c1,[NH2:7][O:8][P:9]([c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)([c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)=[O:22].[NH2:1][O:23][P:24]([c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)([c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1)=[O:37].[n:2]1[cH:3][cH:4][nH:5][cH:6]1>>[NH2:1][n+:2]1[cH:3][cH:4][n:5]([NH2:7])[cH:6]1,"[['N:7 - O:8'], ['N:1 - O:23'], ['N:5 - H']]","[['N:5 - N:7', 'N:1 - N:2']]",[],"[(2, '[#7]1[#6][#7:2][#6][#6]1', 'N:5 - H', 'N', 'SINGLE', 'H', '[#7]1[#6][#7][#6][#6]1', '[H]')]","[(0, '[#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:1][#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:2]', 'N:5 - N:7', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:7 - O:8', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]'), (1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:23', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]1([#6][#7][#6][#6]1)-[#7]', 'N:5 - N:7', 'N', 'SINGLE', 'N', '[#7]1[#6][#7][#6][#6]1', '[#7]'), (0, '[#7]1([#6][#7][#6][#6]1)-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#7]1[#6][#7][#6][#6]1', '[#7]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.c1cnc2cc[nH]c2c1>>N[n+]1cccc2[nH]ccc21,N[n+]1cccc2[nH]ccc21,[NH2:1][O:13][P:12](=[O:11])([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1.[n:2]1[cH:3][cH:4][cH:5][c:6]2[nH:7][cH:8][cH:9][c:10]12>>[NH2:1][n+:2]1[cH:3][cH:4][cH:5][c:6]2[nH:7][cH:8][cH:9][c:10]12,"[['N:1 - O:13'], None]",[['N:1 - N:2']],[],[],"[(0, '[N:1][n&+:2]1ccccc1', 'N:1 - N:2', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:13', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6]1[#6][#6][#7]([#6][#6]1)-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#6]1[#6][#6][#7][#6][#6]1', '[#7]')]"
c1,Cc1c[nH]cn1.NOP(=O)(c1ccccc1)c1ccccc1>>Cc1cn(N)c[n+]1N,Cc1cn(N)c[n+]1N,[CH3:1][c:2]1[cH:3][nH:4][cH:5][n:6]1.[NH2:8][O:9][P:10]([c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)([c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)=[O:23].[NH2:7][O:24][P:25]([c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)([c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1)=[O:38]>>[CH3:1][c:2]1[cH:3][n:4]([NH2:8])[cH:5][n+:6]1[NH2:7],"[['N:4 - H'], ['N:8 - O:9'], ['N:7 - O:24']]","[['N:6 - N:7', 'N:4 - N:8']]",[],"[(0, '[#7:2]1[#6][#7][#6][#6]1', 'N:4 - H', 'N', 'SINGLE', 'H', '[#7]1[#6][#7][#6][#6]1', '[H]')]","[(0, '[#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:1][#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:2]', 'N:4 - N:8', 'N', 'SINGLE', 'N')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:8 - O:9', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]'), (2, '[#8]=[#15]([#8]-[#7])(c)c', 'N:7 - O:24', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]1([#6][#7][#6][#6]1)-[#7]', 'N:6 - N:7', 'N', 'SINGLE', 'N', '[#7]1[#6][#7][#6][#6]1', '[#7]'), (0, '[#7]1([#6][#7][#6][#6]1)-[#7]', 'N:4 - N:8', 'N', 'SINGLE', 'N', '[#7]1[#6][#7][#6][#6]1', '[#7]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.c1ccc2[nH]cnc2c1>>Nn1c[n+](N)c2ccccc21,Nn1c[n+](N)c2ccccc21,[NH2:11][O:12][P:13]([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)([c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)=[O:26].[NH2:2][O:27][P:28]([c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1)([c:35]1[cH:36][cH:37][cH:38][cH:39][cH:40]1)=[O:41].[n:1]1[cH:3][nH:4][c:5]2[c:6]1[cH:7][cH:8][cH:9][cH:10]2>>[n+:1]1([NH2:2])[cH:3][n:4]([NH2:11])[c:5]2[c:6]1[cH:7][cH:8][cH:9][cH:10]2,"[['N:11 - O:12'], ['N:2 - O:27'], ['N:4 - H']]","[['N:4 - N:11', 'N:1 - N:2']]",[],"[(2, 'c12[n:2]cnc1cccc2', 'N:4 - H', 'N', 'SINGLE', 'H', '[c]1([n][c][n]2)[c]2[c][c][c][c]1', '[H]')]","[(0, '[#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:1][#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:2]', 'N:4 - N:11', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:11 - O:12', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]'), (1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:2 - O:27', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]1([#6][#7][#6][#6]1)-[#7]', 'N:4 - N:11', 'N', 'SINGLE', 'N', '[#7]1[#6][#7][#6][#6]1', '[#7]'), (0, '[#7]1([#6][#7][#6][#6]1)-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#7]1[#6][#7][#6][#6]1', '[#7]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.O=C1CSC(=O)N1>>NN1C(=O)CSC1=O,NN1C(=O)CSC1=O,[NH2:1][O:11][P:10](=[O:9])([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1.[NH:2]1[C:3](=[O:4])[CH2:5][S:6][C:7]1=[O:8]>>[NH2:1][N:2]1[C:3](=[O:4])[CH2:5][S:6][C:7]1=[O:8],"[['N:1 - O:11'], ['N:2 - H']]",[['N:1 - N:2']],[],"[(1, '[#7&H1:2]1[#6](=[#8])[#16][#6][#6]1=[#8]', 'N:2 - H', 'N', 'SINGLE', 'H', '[#7;H1]1[#6](=[#8])[#16][#6][#6]1=[#8]', '[H]')]","[(0, '[#6&X3](=[#8])[#7;H1,H0:1][#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:2]', 'N:1 - N:2', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:11', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]1([#6](=[#8])[#16][#6][#6]1=[#8])-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#7]1[#6](=[#8])[#16][#6][#6]1=[#8]', '[#7]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.c1ccc2ncncc2c1>>N[n+]1cncc2ccccc21,N[n+]1cncc2ccccc21,[NH2:1][O:14][P:13](=[O:12])([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1.[n:2]1[cH:3][n:4][cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]12>>[NH2:1][n+:2]1[cH:3][n:4][cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]12,"[['N:1 - O:14'], None]",[['N:1 - N:2']],[],[],[],"[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:14', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#7]', '[#7]')]"
c1,CN1CCCc2ccccc21.NOP(=O)(c1ccccc1)c1ccccc1>>CN1CCCc2cccc(N)c21,CN1CCCc2cccc(N)c21,[CH3:1][N:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:12]21.[NH2:11][O:15][P:14](=[O:13])([c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1>>[CH3:1][N:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][c:10]([NH2:11])[c:12]21,"[['C:10 - H'], ['N:11 - O:15']]",[['C:10 - N:11']],[],"[(0, '[#6]12[#6][#6][#6][#7][#6]1[#6:2][#6][#6][#6]2', 'C:10 - H', 'C', 'SINGLE', 'H', '[#6]1([#6][#6][#6][#7]2)[#6]2[#6][#6][#6][#6]1', '[H]')]","[(0, '[#7&X3&H2:1][#6:2]', 'C:10 - N:11', 'C', 'SINGLE', 'N')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:11 - O:15', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6]12[#6][#6][#6][#7][#6]1[#6]([#6][#6][#6]2)-[#7]', 'C:10 - N:11', 'C', 'SINGLE', 'N', '[#6]1([#6][#6][#6][#7]2)[#6]2[#6][#6][#6][#6]1', '[#7]')]"
